UPC,Title,Price (£),Rating,Genre,Availability,Description
0345872b14f9e774,The Origin of Species,10.01,4,Science,In stock,No description available
924438fc6cbec836,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,Food and Drink,In stock,No description available
40cdcbb7692fd408,Life of Pi,13.22,4,Default,In stock,No description available
4fa75fc6829431ca,Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,Fantasy,In stock,No description available
4807043b8218e9ce,Counted With the Stars (Out from Egypt #1),17.97,5,Christian Fiction,In stock,No description available
72b5355dda190b6a,The Hobbit (Middle-Earth Universe),17.8,5,Default,In stock,No description available
3d250ab0f12be445,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Poetry,In stock,No description available
720c36b2bee4692e,Pride and Prejudice,19.27,4,Add a comment,In stock,No description available
abbb492978ff656d,The Secret Garden,15.08,4,Classics,In stock,No description available
f701fae56b645ef7,The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,Food and Drink,In stock,No description available
c4182bdb53e2459a,The Darkest Corners,11.33,5,Young Adult,In stock,No description available
59a8ae019b64f2a7,Shiver (The Wolves of Mercy Falls #1),16.23,5,Default,In stock,No description available
44f545727e704187,Kill the Boy Band,15.52,5,Young Adult,In stock,No description available
b54d7416bb445989,Booked,17.49,5,Poetry,In stock,No description available
f36d24c309e87e5b,An Abundance of Katherines,10.0,5,Young Adult,In stock,No description available
f2c8f4b4c94d5c5c,A Feast for Crows (A Song of Ice and Fire #4),17.21,4,Fantasy,In stock,No description available
45033bdf3d9ed158,The Gunning of America: Business and the Making of American Gun Culture,16.81,4,Nonfiction,In stock,No description available
31f5bbf4974d29c9,Some Women,13.73,5,Womens Fiction,In stock,No description available
5de4baa88061a77a,Outlander (Outlander #1),19.67,5,Default,In stock,No description available
869d20b3b8128230,Night Shift (Night Shift #1-20),12.75,4,Horror,In stock,No description available
c6bf14cb901c63ac,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,Science,In stock,No description available
510832818edb6fbc,Scarlet (The Lunar Chronicles #2),14.57,4,Young Adult,In stock,No description available
28921443f052bea6,Running with Scissors,12.91,4,Autobiography,In stock,No description available
2ef5dc7e278e562a,Ready Player One,19.07,4,Science Fiction,In stock,No description available
621e2c310cec8d32,Green Eggs and Ham (Beginner Books B-16),10.79,4,Childrens,In stock,No description available
ed813a848580ba50,Fifty Shades Freed (Fifty Shades #3),15.36,5,Adult Fiction,In stock,No description available
81372abc86f65c79,Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,Nonfiction,In stock,No description available
5dbd6ec4e154ad2f,A Visit from the Goon Squad,14.08,5,Default,In stock,No description available
6fa3ea52c8e31e06,New Moon (Twilight #2),12.86,4,Young Adult,In stock,No description available
c0db71f6bb14db11,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,Sequential Art,In stock,No description available
09d26b5f819c6a36,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,Sequential Art,In stock,No description available
9c96cd1329fbd82d,The Zombie Room,19.69,5,Default,In stock,No description available
b78deb463531d078,The Silent Wife,12.34,5,Fiction,In stock,No description available
4280ac3eab57aa5d,The Girl You Lost,12.29,5,Mystery,In stock,No description available
29fc016c459aeb14,The Edge of Reason (Bridget Jones #2),19.18,4,Womens Fiction,In stock,No description available
19fec36a1dfb4c16,A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction,In stock,No description available
